id,name,zip_id:id
232,SAN JAVIER NO.1,l10n_co_base_location.zip_co_050033
233,SAN JAVIER NO.2,l10n_co_base_location.zip_co_050033
234,SANTA LUCÍA,l10n_co_base_location.zip_co_050033
235,VEINTE DE JULIO,l10n_co_base_location.zip_co_050033
236,ALTAMIRA,l10n_co_base_location.zip_co_050034
237,BATALLÓN CUARTA BRIGADA,l10n_co_base_location.zip_co_050034
238,BOSQUES DE SAN PABLO,l10n_co_base_location.zip_co_050034
239,CARIBE,l10n_co_base_location.zip_co_050034
240,CARLOS E. RESTREPO,l10n_co_base_location.zip_co_050034
241,CERRO EL VOLADOR,l10n_co_base_location.zip_co_050034
242,CUARTA BRIGADA,l10n_co_base_location.zip_co_050034
243,LA IGUANÁ,l10n_co_base_location.zip_co_050034
244,ESTADIO,l10n_co_base_location.zip_co_050034
245,FACULTAD DE MINAS U. NACIONAL,l10n_co_base_location.zip_co_050034
246,FACULTAD VETERINARIA Y ZOOTECNIA U.DE.A.,l10n_co_base_location.zip_co_050034
247,LA PILARICA,l10n_co_base_location.zip_co_050034
248,LOS COLORES,l10n_co_base_location.zip_co_050034
249,AREA DE EXPANSIÓN SAN CRISTÓBAL,l10n_co_base_location.zip_co_050035
250,BLANQUIZAL,l10n_co_base_location.zip_co_050035
251,CALASANZ,l10n_co_base_location.zip_co_050035
252,CALASANZ PARTE ALTA,l10n_co_base_location.zip_co_050035
253,EL PESEBRE,l10n_co_base_location.zip_co_050035
254,FERRINI,l10n_co_base_location.zip_co_050035
255,JUAN XXIII LA QUIEBRA,l10n_co_base_location.zip_co_050035
256,LA PRADERA,l10n_co_base_location.zip_co_050035
257,LOS ALCÁZARES,l10n_co_base_location.zip_co_050035
258,METROPOLITANO,l10n_co_base_location.zip_co_050035
259,OLAYA HERRERA,l10n_co_base_location.zip_co_050035
260,SANTA ROSA DE LIMA,l10n_co_base_location.zip_co_050035
261,CUCARACHO,l10n_co_base_location.zip_co_050036
262,FUENTE CLARA,l10n_co_base_location.zip_co_050036
263,ROBLEDO,l10n_co_base_location.zip_co_050036
264,SANTA MARGARITA,l10n_co_base_location.zip_co_050036
265,SAN CRISTÓBAL,l10n_co_base_location.zip_co_050037
266,ALFONSO LOPEZ,l10n_co_base_location.zip_co_050040
267,CÓRDOBA,l10n_co_base_location.zip_co_050040
268,CEMENTERIO UNIVERSAL,l10n_co_base_location.zip_co_050040
269,FRANCISCO ANTONIO ZEA,l10n_co_base_location.zip_co_050040
270,KENNEDY,l10n_co_base_location.zip_co_050040
271,LOPEZ DE MESA,l10n_co_base_location.zip_co_050040
272,OLEODUCTO,l10n_co_base_location.zip_co_050040
273,TERMINAL DE TRANSPORTE,l10n_co_base_location.zip_co_050040
274,AURES NO.1,l10n_co_base_location.zip_co_050041
275,AURES NO.2,l10n_co_base_location.zip_co_050041
276,BELLO HORIZONTE,l10n_co_base_location.zip_co_050041
277,EL DIAMANTE,l10n_co_base_location.zip_co_050041
278,PALENQUE,l10n_co_base_location.zip_co_050041
279,VILLA FLORA,l10n_co_base_location.zip_co_050041
280,BELALCÁZAR,l10n_co_base_location.zip_co_050042
281,CASTILLA,l10n_co_base_location.zip_co_050042
282,GIRARDOT,l10n_co_base_location.zip_co_050042
283,LA ESPERANZA,l10n_co_base_location.zip_co_050042
284,PEDREGAL,l10n_co_base_location.zip_co_050042
285,TRICENTENARIO,l10n_co_base_location.zip_co_050042
286,DOCE DE OCTUBRE NO.1,l10n_co_base_location.zip_co_050043
287,DOCE DE OCTUBRE NO.2,l10n_co_base_location.zip_co_050043
288,EL TRIUNFO,l10n_co_base_location.zip_co_050043
289,MIRADOR DEL DOCE,l10n_co_base_location.zip_co_050043
290,PICACHITO,l10n_co_base_location.zip_co_050043
291,PICACHO,l10n_co_base_location.zip_co_050043
292,PROGRESO NO.2,l10n_co_base_location.zip_co_050043
293,SAN MARTÍN DE PORRES,l10n_co_base_location.zip_co_050043
294,BOYACÁ,l10n_co_base_location.zip_co_050044
295,FLORENCIA,l10n_co_base_location.zip_co_050044
296,HÉCTOR ABAD GÓMEZ,l10n_co_base_location.zip_co_050044
297,LAS BRISAS,l10n_co_base_location.zip_co_050044
298,PLAZA DE FERIAS,l10n_co_base_location.zip_co_050044
299,SANTANDER,l10n_co_base_location.zip_co_050044
300,TEJELO,l10n_co_base_location.zip_co_050044
301,TOSCANA,l10n_co_base_location.zip_co_050044
302,MONTECLARO,l10n_co_base_location.zip_co_050047
303,PAJARITO,l10n_co_base_location.zip_co_050047
304,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_050048
305,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051010
306,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051017
307,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051020
308,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051027
309,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051028
310,AURELIO MEJÍA,l10n_co_base_location.zip_co_051030
311,CENTRO,l10n_co_base_location.zip_co_051030
312,EL LLANO,l10n_co_base_location.zip_co_051030
313,EL PARAÍSO,l10n_co_base_location.zip_co_051030
314,GIRARDOTA NUEVA,l10n_co_base_location.zip_co_051030
315,GUADALES,l10n_co_base_location.zip_co_051030
316,GUAYACANES,l10n_co_base_location.zip_co_051030
317,HATO GRANDE,l10n_co_base_location.zip_co_051030
318,JUAN 23,l10n_co_base_location.zip_co_051030
319,LA CEIBA,l10n_co_base_location.zip_co_051030
320,LA FERREIRA,l10n_co_base_location.zip_co_051030
321,LA FLORIDA,l10n_co_base_location.zip_co_051030
322,MONTECARLO,l10n_co_base_location.zip_co_051030
323,NARANJAL,l10n_co_base_location.zip_co_051030
324,NUEVO HORIZONTE,l10n_co_base_location.zip_co_051030
325,PALMAS DEL LLANO,l10n_co_base_location.zip_co_051030
326,SALADO,l10n_co_base_location.zip_co_051030
327,SAN JOSÉ,l10n_co_base_location.zip_co_051030
328,SANTA ANA,l10n_co_base_location.zip_co_051030
329,EL SOCORRO,l10n_co_base_location.zip_co_051037
330,EL TIGRE,l10n_co_base_location.zip_co_051037
331,LA MATA,l10n_co_base_location.zip_co_051037
332,LA MATICA,l10n_co_base_location.zip_co_051037
333,LOMA DE LOS OCHOA,l10n_co_base_location.zip_co_051037
334,MERCEDES ABREGO,l10n_co_base_location.zip_co_051037
335,POTRERITO,l10n_co_base_location.zip_co_051037
336,CABECERA MUNICIPAL,l10n_co_base_location.zip_co_051038
337,EL BARRO,l10n_co_base_location.zip_co_051038
338,EL CANO,l10n_co_base_location.zip_co_051038
339,EL MOLINO,l10n_co_base_location.zip_co_051038
340,EL PALMAR,l10n_co_base_location.zip_co_051038
341,EL PARAISO,l10n_co_base_location.zip_co_051038
342,EL YARUMO,l10n_co_base_location.zip_co_051038
343,FILO VERDE,l10n_co_base_location.zip_co_051038
344,GUARNE,l10n_co_base_location.zip_co_051038
345,JAMUNDÍ,l10n_co_base_location.zip_co_051038
346,LA CALERA,l10n_co_base_location.zip_co_051038
347,LA ENEA,l10n_co_base_location.zip_co_051038
348,LA MEJIA,l10n_co_base_location.zip_co_051038
349,LA PALMA,l10n_co_base_location.zip_co_051038
350,LA CUCHILLAS,l10n_co_base_location.zip_co_051038
351,PORTACHUELO,l10n_co_base_location.zip_co_051038
352,SAN ANDRES,l10n_co_base_location.zip_co_051038
353,SAN DIEGO,l10n_co_base_location.zip_co_051038
354,SAN ESTEBAN ,l10n_co_base_location.zip_co_051038
355,ASUNCIÓN (ALTA Y BAJA) GUADALAJARA,l10n_co_base_location.zip_co_051040
356,AUTOPISTA (INDUSTRIAL),l10n_co_base_location.zip_co_051040
357,CENTRO MIRAFLORES,l10n_co_base_location.zip_co_051040
358,CHANGAI (NUCLEO URBANO),l10n_co_base_location.zip_co_051040
359,CRISTO REY CUENCA VERDE,l10n_co_base_location.zip_co_051040
360,EL MOJÓN,l10n_co_base_location.zip_co_051040
361,EL PEDREGAL,l10n_co_base_location.zip_co_051040
362,EL RECREO,l10n_co_base_location.zip_co_051040
363,EL REMANSO,l10n_co_base_location.zip_co_051040
364,FRANCISCO MENESES HORIZONTES,l10n_co_base_location.zip_co_051040
365,FÁTIMA,l10n_co_base_location.zip_co_051040
366,LA AZULITA,l10n_co_base_location.zip_co_051040
367,LA LOMITA (LUNA LUNERA),l10n_co_base_location.zip_co_051040
368,LA MI,l10n_co_base_location.zip_co_051040
369,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051047
370,LAS CANTERAS,l10n_co_base_location.zip_co_051048
371,ALTOS DE NIQUIA,l10n_co_base_location.zip_co_051050
372,CIUDAD NIQUIA,l10n_co_base_location.zip_co_051050
373,CIUDADELA DEL NORTE,l10n_co_base_location.zip_co_051050
374,GUASIMALITO,l10n_co_base_location.zip_co_051050
375,LA NAVARRA,l10n_co_base_location.zip_co_051050
376,NIQUIA BIFAMILIAR,l10n_co_base_location.zip_co_051050
377,PANAMERICANO,l10n_co_base_location.zip_co_051050
378,QUITASOL,l10n_co_base_location.zip_co_051050
379,ACEVEDO,l10n_co_base_location.zip_co_051051
380,ACEVEDO BELLO,l10n_co_base_location.zip_co_051051
381,ALCALÁ,l10n_co_base_location.zip_co_051051
382,FONTIQUEÑO,l10n_co_base_location.zip_co_051051
383,LA CAMILA,l10n_co_base_location.zip_co_051051
384,LA ESTACIÓN,l10n_co_base_location.zip_co_051051
385,LA GABRIELA,l10n_co_base_location.zip_co_051051
386,LAS VEGAS,l10n_co_base_location.zip_co_051051
387,SANTA RITA,l10n_co_base_location.zip_co_051051
388,ZAMORA,l10n_co_base_location.zip_co_051051
389,ZONA INDUSTRIAL NO 2,l10n_co_base_location.zip_co_051051
390,ZONA INDUSTRIAL NO 3,l10n_co_base_location.zip_co_051051
391,EL CAFETAL,l10n_co_base_location.zip_co_051052
392,JOSÉ ANTONIO GALÁN,l10n_co_base_location.zip_co_051052
393,LA ESMERALDA,l10n_co_base_location.zip_co_051052
394,LA FLORIDA,l10n_co_base_location.zip_co_051052
395,LA GRAN AVENIDA,l10n_co_base_location.zip_co_051052
396,LA MADERA,l10n_co_base_location.zip_co_051052
397,LA PRADERA,l10n_co_base_location.zip_co_051052
398,LAS CABAÑAS,l10n_co_base_location.zip_co_051052
399,LAS CABAÑITAS,l10n_co_base_location.zip_co_051052
400,LOS SAUCES,l10n_co_base_location.zip_co_051052
401,MARUCHENGA,l10n_co_base_location.zip_co_051052
402,NUEVO,l10n_co_base_location.zip_co_051052
403,PARÍS,l10n_co_base_location.zip_co_051052
404,SALVADOR ALLENDE,l10n_co_base_location.zip_co_051052
405,ALTAVISTA,l10n_co_base_location.zip_co_051053
406,ANDALUCÍA,l10n_co_base_location.zip_co_051053
407,CENTRAL,l10n_co_base_location.zip_co_051053
408,CENTRO,l10n_co_base_location.zip_co_051053
409,CONGOLO,l10n_co_base_location.zip_co_051053
410,EL CAIRO,l10n_co_base_location.zip_co_051053
411,EL ROSARIO,l10n_co_base_location.zip_co_051053
412,ESPÍRITU SANTO,l10n_co_base_location.zip_co_051053
413,LA MESA,l10n_co_base_location.zip_co_051053
414,LAS GRANJAS,l10n_co_base_location.zip_co_051053
415,MANCHESTER,l10n_co_base_location.zip_co_051053
416,MILAGROSA,l10n_co_base_location.zip_co_051053
417,NAZARETH,l10n_co_base_location.zip_co_051053
418,PRADO,l10n_co_base_location.zip_co_051053
419,PUERTO BELLO,l10n_co_base_location.zip_co_051053
420,PÉREZ,l10n_co_base_location.zip_co_051053
421,RINCÓN SANTO,l10n_co_base_location.zip_co_051053
422,SALENTO,l10n_co_base_location.zip_co_051053
423,SAN JOSÉ OBRERO,l10n_co_base_location.zip_co_051053
424,SANTA ANA,l10n_co_base_location.zip_co_051053
425,SUÁREZ,l10n_co_base_location.zip_co_051053
426,ZONA INDUSTRIAL NO 1,l10n_co_base_location.zip_co_051053
427,BELLAVISTA,l10n_co_base_location.zip_co_051054
428,BRICEÑO,l10n_co_base_location.zip_co_051054
429,BUENOS AIRES,l10n_co_base_location.zip_co_051054
430,EL CARMELO,l10n_co_base_location.zip_co_051054
431,EL DUCADO,l10n_co_base_location.zip_co_051054
432,EL MIRADOR,l10n_co_base_location.zip_co_051054
433,EL PORVENIR,l10n_co_base_location.zip_co_051054
434,LA ALDEA,l10n_co_base_location.zip_co_051054
435,LA PRIMAVERA,l10n_co_base_location.zip_co_051054
436,LA SELVA,l10n_co_base_location.zip_co_051054
437,LOS ALPES,l10n_co_base_location.zip_co_051054
438,MARCO TULIO HENAO,l10n_co_base_location.zip_co_051054
439,PACHELLY,l10n_co_base_location.zip_co_051054
440,PARAÍSO,l10n_co_base_location.zip_co_051054
441,PLAYA RICA,l10n_co_base_location.zip_co_051054
442,SAN GABRIEL,l10n_co_base_location.zip_co_051054
443,SAN MARTÍN,l10n_co_base_location.zip_co_051054
444,TRAPICHE,l10n_co_base_location.zip_co_051054
445,URAPANES,l10n_co_base_location.zip_co_051054
446,VILLAS DEL SOL,l10n_co_base_location.zip_co_051054
447,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_051057
