id,city_id/id,name,type
zip_co_196030,l10n_co_base_location.city_co_19809,196030,urban
zip_co_196038,l10n_co_base_location.city_co_19809,196038,rural
zip_co_196037,l10n_co_base_location.city_co_19809,196037,rural
zip_co_192001,l10n_co_base_location.city_co_19821,192001,urban
zip_co_192008,l10n_co_base_location.city_co_19821,192008,rural
zip_co_192009,l10n_co_base_location.city_co_19821,192009,rural
zip_co_192007,l10n_co_base_location.city_co_19821,192007,rural
zip_co_192570,l10n_co_base_location.city_co_19824,192570,urban
zip_co_192577,l10n_co_base_location.city_co_19824,192577,rural
zip_co_192578,l10n_co_base_location.city_co_19824,192578,rural
zip_co_192579,l10n_co_base_location.city_co_19824,192579,rural
zip_co_191060,l10n_co_base_location.city_co_19845,191060,urban
zip_co_191067,l10n_co_base_location.city_co_19845,191067,rural
zip_co_205010,l10n_co_base_location.city_co_20011,205010,urban
zip_co_205018,l10n_co_base_location.city_co_20011,205018,rural
zip_co_205017,l10n_co_base_location.city_co_20011,205017,rural
zip_co_202050,l10n_co_base_location.city_co_20013,202050,urban
zip_co_202057,l10n_co_base_location.city_co_20013,202057,rural
zip_co_202058,l10n_co_base_location.city_co_20013,202058,rural
zip_co_201040,l10n_co_base_location.city_co_20032,201040,urban
